date,entry_time,stop_line_time,direction_time,vehicle_type,vehicle_id,lane,direction
2025-02-25,17:28:12,17:29:20,17:29:47,motorbike,24,1,straight
2025-02-25,17:28:33,17:29:30,17:29:59,motorbike,180,1,straight
2025-02-25,17:29:38,17:30:26,17:30:39,motorbike,328,1,straight
2025-02-25,17:29:49,17:30:34,17:30:48,motorbike,415,1,straight
2025-02-25,17:28:12,17:31:04,17:31:23,motorbike,19,1,straight
2025-02-25,17:30:42,17:31:29,17:31:40,motorbike,623,1,straight
2025-02-25,17:30:59,17:31:43,17:31:57,motorbike,754,1,straight
2025-02-25,17:31:25,17:31:54,17:32:07,motorbike,858,1,straight
2025-02-25,17:30:27,17:32:07,17:32:29,motorbike,575,1,straight
2025-02-25,17:32:30,17:33:00,17:33:13,motorbike,1108,1,straight
2025-02-25,17:32:34,17:33:13,17:33:34,motorbike,1120,1,right
2025-02-25,17:32:30,17:33:40,17:34:14,motorbike,996,1,straight
2025-02-25,17:34:03,17:35:11,17:36:19,motorbike,1406,1,straight
2025-02-25,17:33:42,17:34:24,17:36:48,motorbike,1271,1,straight
2025-02-25,17:35:17,17:36:30,17:36:50,motorbike,1582,1,right
2025-02-25,17:31:17,17:32:05,17:36:55,motorbike,818,1,straight
2025-02-25,17:36:21,17:36:43,17:36:57,motorbike,1917,1,right
2025-02-25,17:35:53,17:36:45,17:36:58,motorbike,1830,1,straight
2025-02-25,17:36:35,17:36:41,17:37:12,car,27,1,straight
2025-02-25,17:36:02,17:37:03,17:37:17,motorbike,1856,1,straight
2025-02-25,17:37:17,17:37:53,17:38:04,motorbike,2164,1,straight
2025-02-25,17:36:56,17:37:54,17:38:10,motorbike,1964,1,right
2025-02-25,17:37:23,17:38:04,17:38:17,motorbike,2091,1,straight
2025-02-25,17:37:30,17:38:13,17:38:27,motorbike,2204,1,right
2025-02-25,17:37:41,17:38:16,17:38:30,motorbike,2262,1,straight
2025-02-25,17:37:46,17:38:26,17:38:34,motorbike,2197,1,straight
2025-02-25,17:37:37,17:38:21,17:38:36,motorbike,2238,1,straight
2025-02-25,17:38:07,17:38:52,17:39:05,motorbike,2326,1,straight
2025-02-25,17:38:16,17:39:00,17:39:12,motorbike,2410,1,right
2025-02-25,17:39:24,17:40:13,17:40:31,motorbike,2580,1,right
2025-02-25,17:40:26,17:41:39,17:41:54,motorbike,2768,1,left
2025-02-25,17:41:17,17:42:04,17:42:48,motorbike,2534,1,straight
2025-02-25,17:42:33,17:43:47,17:43:47,motorbike,3187,1,u-turn
